asset,regime,share,strat_ret_pct,bh_ret_pct,edge_pct
BNBUSDT,bull,0.64,1390.49,32193.64,-30803.16
BNBUSDT,bear,0.36,-55.50,-88.90,33.41
BTCUSDT,bull,0.63,528.84,5756.13,-5227.29
BTCUSDT,bear,0.37,-36.70,-87.69,50.99
ETHUSDT,bull,0.62,706.58,9871.76,-9165.18
ETHUSDT,bear,0.38,-41.48,-91.42,49.94
SOLUSDT,bull,0.55,2804.52,99883.56,-97079.05
SOLUSDT,bear,0.45,-61.45,-98.18,36.73
XRPUSDT,bull,0.48,1147.43,39947.11,-38799.68
XRPUSDT,bear,0.52,-79.06,-99.59,20.53
TRXUSDT,bull,0.71,561.09,11280.89,-10719.80
TRXUSDT,bear,0.29,-60.02,-91.35,31.34
DOGEUSDT,bull,0.27,2242.01,14961.08,-12719.07
DOGEUSDT,bear,0.13,-21.71,-71.03,49.32
XLMUSDT,bull,0.41,1846.46,8042.08,-6195.62
XLMUSDT,bear,0.59,-76.19,-98.70,22.51
ADAUSDT,bull,0.47,1528.70,22540.89,-21012.20
ADAUSDT,bear,0.53,-67.04,-99.71,32.67
LINKUSDT,bull,0.33,190.49,26604.01,-26413.51
LINKUSDT,bear,0.22,-68.87,-94.38,25.52
LTCUSDT,bull,0.43,391.75,5523.22,-5131.46
LTCUSDT,bear,0.57,-85.02,-99.70,14.68
BCHUSDT,bull,0.33,65.42,1419.02,-1353.60
BCHUSDT,bear,0.29,-56.15,-92.76,36.61
ZECUSDT,bull,0.29,185.00,1176.51,-991.50
ZECUSDT,bear,0.28,-72.17,-95.59,23.42
XMRUSDT,bull,0.41,184.63,2502.40,-2317.78
XMRUSDT,bear,0.33,-74.82,-91.74,16.92
HBARUSDT,bull,0.49,203.81,30637.40,-30433.58
HBARUSDT,bear,0.51,-55.89,-99.22,43.33
